date,price,commodity,price_lag_7,price_lag_14,price_lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,day_of_week,month,temperature,rainfall,rainfall_30d,ndvi_proxy
2021-01-31,1127.6396132760108,onion,1292.70868477609,1383.2926713044756,1500.0,1171.2562434228787,1412.8213920215867,35.50267117348682,6,1,34.25880353759527,0.5811675180632463,1.009254527310277,0.033641817577009236
2021-02-01,1100.5014903990207,onion,1221.1171017698953,1330.4852618616649,1520.3357076505617,1154.0254417984681,1398.8269181132018,36.52502377535971,0,2,28.204637087283796,0.8788909263782433,1.0103669982437058,0.033678899941456786
2021-02-02,1196.6053698164872,onion,1194.9756235082384,1345.0879232541952,1508.5157784389912,1154.2582626996466,1388.429904492452,36.833448611499534,1,2,29.657126181995025,1.6940586140728409,1.047769857065127,0.034925661902170946
2021-02-03,1197.4984011832607,onion,1202.122240523567,1298.2849610130506,1536.229889775246,1153.59771422246,1377.1388548727189,35.86063894349498,2,2,31.357245207879103,4.444933646332414,1.1780715895543343,0.03926905298514449
2021-02-04,1146.1628867118006,onion,1146.0301168419803,1227.204076726025,1607.1567848001423,1153.6166813467198,1361.7723916031075,35.856004063364,3,2,30.559207864899697,0.4924152993818688,1.150503057552902,0.038350101918430135
2021-02-05,1189.866874582724,onion,1167.3944154224241,1301.4424336375823,1588.8059803679726,1156.8270326553343,1348.474421410266,38.22308253107814,4,2,28.84339557378338,0.04857660492192068,1.1135233329737784,0.037117444432459235
2021-02-06,1130.5273545925186,onion,1139.5145926180353,1289.624769940504,1570.823012913154,1155.543141508832,1333.7978994662446,39.04364668738447,5,2,33.19098258206857,1.6153126514474883,1.1076541803309452,0.036921806011031566
2021-02-07,1143.859987250906,onion,1127.6396132760108,1292.70868477609,1643.8671934302602,1157.8603377909596,1317.1309925935998,37.56492489721669,6,2,35.72485014518578,0.9273029420057072,1.128976698988914,0.03763255663296383
2021-02-08,1048.4992813118993,onion,1100.5014903990207,1221.1171017698953,1674.8615860193004,1150.4314507785139,1296.252249103353,52.83658180273044,0,2,31.612730402456492,0.22132378168505037,1.1050074810217254,0.03683358270072423
2021-02-09,986.6199932407397,onion,1196.6053698164872,1194.9756235082384,1643.3906350021668,1120.4335398391213,1274.3598943779723,76.54330632155228,1,2,29.54618642942977,0.6828572175297412,1.0984378472284213,0.036614594907614095
2021-02-10,1002.2306551693811,onion,1197.4984011832607,1202.122240523567,1663.1508244814218,1092.5381475514243,1252.3292220675708,79.30860101514256,2,2,28.388374560242863,1.3559989197149651,1.128250498787098,0.03760834995956985
2021-02-11,1044.609371065764,onion,1146.1628867118006,1146.0301168419803,1632.2169233511702,1078.0305024591332,1232.7423036580572,77.12260560562109,3,2,32.132298144865146,1.4714679532615205,1.1551112982617902,0.03850370994205965
2021-02-12,1057.7855977039471,onion,1189.866874582724,1167.3944154224241,1601.7860972056337,1059.161748619308,1214.6089536746674,59.29818815515586,4,2,33.95219087496197,0.6923842956281919,1.1656387705721785,0.038854625685739275
2021-02-13,1056.347471630456,onion,1130.5273545925186,1139.5145926180353,1607.3484888398227,1048.5646224818704,1196.2422531010222,50.37596578618044,5,2,32.82086316522743,0.36415215751212615,1.1726781811166422,0.03908927270388807
2021-02-14,1045.6653374183825,onion,1143.859987250906,1127.6396132760108,1505.0375068301362,1034.5368153629386,1180.9298474539637,28.213977838406088,6,2,31.989775588678764,3.639806740855487,1.2859868856155883,0.04286622952051966
2021-02-15,976.3259311516434,onion,1048.4992813118993,1100.5014903990207,1414.1908650678818,1024.2263367686162,1166.3343496567556,34.70251209968645,0,2,30.93802291923913,1.0887489248335707,1.3185616620417664,0.04395205540139224
